x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
2400,576.0,1,,,11,[27],1,[27],[]
3560.0,800.0,3,2.8453333333333335,0.1546666666666665,8,"[27, 52]",2,[52],[]
3450.0,0.0,5,4.213333333333333,0.7866666666666671,21,"[27, 52, 42]",3,[42],[]
3600,1061.0,9,6.6146666666666665,2.3853333333333335,56,"[27, 52, 42]",3,[],[]
4000,914.0,12,9.729333333333333,2.270666666666667,20,"[27, 52, 42, 14]",4,[14],[]
735.0,2000.0,20,17.801333333333332,2.198666666666668,2,"[27, 52, 42, 14, 55, 70]",6,"[55, 70]",[]
3133.0,2000.0,24,23.197333333333333,0.8026666666666671,10,"[27, 42, 14, 55, 70, 0, 16, 83]",8,"[0, 16, 83]",[52]
4000,553.5,29,27.084666666666667,1.9153333333333329,34,"[27, 42, 14, 55, 70, 0, 16, 83, 58]",9,[58],[]
1163.0,0.0,34,33.52066666666667,0.4793333333333294,17,"[27, 42, 14, 55, 70, 0, 16, 83, 58]",9,[],[]
500.0,400.0,40,35.41733333333333,4.582666666666668,13,"[27, 14, 55, 70, 0, 16, 83, 58]",8,[],[42]
0,8.0,42,41.18933333333333,0.8106666666666698,1,"[27, 14, 55, 70, 0, 16, 58, 15]",8,[15],[83]
800,945.0,46,44.316,1.6839999999999975,0,"[14, 55, 70, 0, 16, 58, 15, 24]",8,[24],[27]
294.5,1600.0,49,47.547333333333334,1.4526666666666657,15,"[55, 70, 0, 16, 58, 15, 24]",7,[],[14]
2400,881.0,53,52.766,0.23400000000000176,36,"[55, 70, 0, 16, 58, 15, 24]",7,[],[]
2755.0,800.0,54,53.58133333333333,0.41866666666666674,49,"[55, 58, 15, 24]",4,[],"[70, 0, 16]"
2029.0,800.0,58,54.968,3.0319999999999965,4,[],0,[],"[55, 58, 15, 24]"
