genT,arivT,TT,taxiT,diff
24.0,46.0,22.0,1.8,20.2
32.0,46.0,14.0,2.872,11.128
3.0,49.0,46.0,2.6173333333333333,43.382666666666665
18.0,49.0,31.0,2.232,28.768
4.0,51.35066666666667,47.35066666666667,1.8973333333333333,45.45333333333333
42.0,53.0,11.0,3.504,7.496
44.0,53.0,9.0,2.062666666666667,6.937333333333333
11.0,56.0,45.0,1.4706666666666666,43.529333333333334
21.0,56.0,35.0,1.0226666666666666,33.977333333333334
46.0,56.0,10.0,2.88,7.12
13.0,59.0,46.0,2.546666666666667,43.45333333333333
15.0,59.0,44.0,3.2306666666666666,40.769333333333336
34.0,59.0,25.0,2.676,22.323999999999998
53.0,59.0,6.0,2.2493333333333334,3.7506666666666666
3.0,24.0,21.0,2.078666666666667,18.921333333333333
5.0,40.0,35.0,4.222666666666667,30.77733333333333
24.0,42.0,18.0,6.4013333333333335,11.598666666666666
1.0,46.0,45.0,3.3666666666666667,41.63333333333333
12.0,49.0,37.0,5.472,31.528
18.0,54.0,36.0,3.828,32.172
15.0,54.0,39.0,2.356,36.644
34.0,54.0,20.0,2.2146666666666666,17.785333333333334
26.0,58.0,32.0,2.9,29.1
35.0,58.0,23.0,3.7293333333333334,19.270666666666667
42.0,58.0,16.0,3.054666666666667,12.945333333333334
46.0,58.0,12.0,1.2693333333333334,10.730666666666666
0.0,25.0,25.0,1.4493333333333334,23.550666666666668
7.0,27.836,20.836,1.5306666666666666,19.305333333333333
22.0,34.0,12.0,0.864,11.136
10.0,55.0,45.0,1.88,43.12
25.0,55.0,30.0,3.7346666666666666,26.265333333333334
55.0,57.0,2.0,1.356,0.6439999999999999
13.0,61.492333333333335,48.492333333333335,1.3106666666666666,47.181666666666665
25.0,61.492333333333335,36.492333333333335,1.8706666666666667,34.62166666666667
23.0,61.492333333333335,38.492333333333335,1.5826666666666667,36.909666666666666
46.0,61.492333333333335,15.492333333333335,3.196,12.296333333333335
