x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
531.0,1600,1,,,3,[],0,[],[]
0.0,352.0,4,3.372,0.6280000000000001,34,[62],1,[62],[]
800.0,105.0,9,5.396,3.604,37,"[62, 97]",2,[97],[]
2093.0,0,11,10.864,0.13599999999999923,57,"[62, 97, 87]",3,[87],[]
1975.0,800,13,12.224,0.7759999999999998,45,"[62, 97, 87, 66]",4,[66],[]
1055.0,1200,15,14.76,0.2400000000000002,27,"[62, 97, 87, 66, 85]",5,[85],[]
754.0,400,18,16.468,1.532,24,"[62, 97, 87, 66, 85, 36]",6,[36],[]
895.0,800,21,18.721333333333334,2.278666666666666,12,"[62, 97, 87, 66, 85, 36]",6,[],[]
1847.0,400,24,22.802666666666667,1.197333333333333,67,"[62, 97, 87, 66, 85, 36, 73]",7,[73],[]
2400.0,104.33333333333333,27,25.131555555555554,1.868444444444446,9,"[62, 97, 87, 66, 85, 36, 73, 96]",8,[96],[]
3600.0,1546.0,31,30.522222222222222,0.47777777777777786,23,"[62, 97, 87, 66, 85, 36, 73, 96]",8,[],[]
3426.0,1200,32,31.693333333333335,0.30666666666666487,60,"[62, 97, 87, 66, 85, 36, 73, 96, 80]",9,[80],[]
2800.0,1644.0,36,33.42666666666667,2.5733333333333306,32,"[62, 97, 87, 66, 85, 36, 73, 96, 80, 23, 86]",11,"[23, 86]",[]
2000.0,1960.0,46,37.488,8.512,18,"[62, 97, 87, 66, 85, 36, 96, 23, 86, 38]",10,[38],"[73, 80]"
1492.0,1600,49,47.157333333333334,1.8426666666666662,38,"[62, 87, 66, 85, 96, 23, 86, 38, 64]",9,[64],"[97, 36]"
1200.0,129.0,51.35066666666667,51.35066666666667,0.0,64,"[87, 66, 85, 96, 23, 86, 38, 64]",8,[],[62]
2000.0,420.0,53,52.80533333333334,0.194666666666663,30,"[87, 66, 85, 96, 86, 38, 32]",7,[32],"[23, 64]"
2800.0,397.0,56,54.09733333333333,1.9026666666666685,8,"[66, 85, 86, 32]",4,[],"[87, 96, 38]"
3200.0,420.0,59,56.564,2.436,74,[],0,[],"[66, 85, 86, 32]"
