x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
1600,244.0,0,,,12,[13],1,[13],[]
2000,1148.0,7,1.7386666666666666,5.261333333333333,21,"[13, 77]",2,[77],[]
1600,661.0,10,8.182666666666666,1.817333333333334,13,"[13, 77, 75]",3,[75],[]
2800,1403.0,13,12.589333333333332,0.4106666666666676,19,"[13, 77, 75, 76]",4,[76],[]
3225.0,1200.0,20,13.837333333333333,6.1626666666666665,29,"[13, 77, 75, 76, 91]",5,[91],[]
2665.0,1200.0,22,20.746666666666666,1.2533333333333339,38,"[13, 77, 75, 76, 91, 89]",6,[89],[]
2400,1175.0,23,22.386666666666667,0.6133333333333333,11,"[13, 77, 75, 76, 91, 89, 5]",7,[5],[]
2800,377.0,25,24.59733333333333,0.4026666666666685,16,"[77, 75, 76, 91, 89, 5, 53]",7,[53],[13]
2296.0,2000.0,27.836,27.836,0.0,35,"[75, 76, 91, 89, 5, 53]",6,[],[77]
1923.0,1600.0,32,28.866666666666664,3.1333333333333364,6,"[75, 76, 91, 89, 5, 53]",6,[],[]
1920.0,1200.0,34,32.537333333333336,1.4626666666666637,30,"[75, 76, 91, 5, 53]",5,[],[89]
1372.0,800.0,46,35.264,10.735999999999997,27,"[75, 76, 91, 5, 53, 95]",6,[95],[]
1200,1404.0,55,47.034666666666666,7.965333333333334,15,"[76, 91, 5, 95, 45]",5,[45],"[75, 53]"
1200,1832.0,57,55.57066666666667,1.4293333333333322,7,"[76, 91, 5, 95]",4,[],[45]
3200,462.75,61.492333333333335,61.492333333333335,0.0,31,[],0,[],"[76, 91, 5, 95]"
