x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
268.0,800,3,,,12,[40],1,[40],[]
464.0,0,9,4.328,4.672,26,[40],1,[],[]
2800.0,667.0,15,13.004,1.9960000000000004,40,"[40, 62]",2,[62],[]
2400.0,427.5,17,15.852666666666666,1.147333333333334,8,"[40, 62, 88]",3,[88],[]
3600.0,967.0,20,19.319333333333333,0.6806666666666672,21,"[40, 62, 88, 10]",4,[10],[]
3393.0,1200,21,20.586666666666666,0.413333333333334,45,"[40, 62, 88, 10, 65]",5,[65],[]
3200.0,531.0,25,22.149333333333335,2.8506666666666653,23,"[40, 62, 88, 10, 65]",5,[],[]
2800.0,1437.0,28,26.741333333333333,1.2586666666666666,25,"[40, 62, 88, 10, 65]",5,[],[]
2800.0,1250.0,29,28.249333333333333,0.7506666666666675,35,"[40, 62, 88, 10, 65, 41, 83]",7,"[41, 83]",[]
3200.0,1693.5,41,30.124666666666666,10.875333333333334,10,"[62, 88, 10, 65, 41, 83, 26]",7,[26],[40]
1200.0,1012.3333333333334,44.574888888888886,44.574888888888886,0.0,38,"[62, 88, 41, 83]",4,[],"[10, 65, 26]"
1981.0,2000,47,46.93311111111111,0.06688888888889011,33,"[62, 88]",2,[],"[41, 83]"
461.5,2000,55,49.025999999999996,5.974000000000004,14,[],0,[],"[62, 88]"
