x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
1600,1144.5,4,,,5,[7],1,[7],[]
1354.0,1200.0,5,4.402,0.5979999999999999,42,"[7, 66]",2,[66],[]
2227.0,400.0,8,7.230666666666666,0.7693333333333339,8,"[7, 66, 64]",3,[64],[]
1227.0,0.0,12,9.866666666666667,2.133333333333333,16,"[7, 66, 64, 12]",4,[12],[]
1215.0,800.0,16,13.082666666666666,2.9173333333333336,62,"[7, 66, 64, 12, 70]",5,[70],[]
1409.75,400.0,17,16.793,0.20700000000000074,4,"[7, 66, 64, 12, 70, 21, 48]",7,"[21, 48]",[]
800,537.0,22,17.995666666666665,4.004333333333335,24,"[7, 66, 64, 12, 70, 21, 48, 18]",8,[18],[]
1872.0,800.0,24,23.78,0.21999999999999886,36,"[7, 66, 12, 70, 21, 48, 18, 37, 84]",9,"[37, 84]",[64]
1600,877.0,27,24.465333333333334,2.5346666666666664,25,"[7, 66, 12, 70, 21, 48, 18, 37, 84, 45]",10,[45],[]
1600,1767.75,37,28.187666666666665,8.812333333333335,7,"[7, 66, 70, 21, 48, 18, 37, 84, 45, 17, 47]",11,"[17, 47]",[12]
1310.0,1200.0,40,38.14366666666667,1.8563333333333318,6,"[7, 70, 21, 48, 18, 37, 84, 45, 17, 47]",10,[],[66]
1200,1296.0,41,40.27466666666667,0.7253333333333316,37,"[7, 70, 21, 48, 18, 37, 84, 45, 17, 47]",10,[],[]
880.0,1200.0,42,41.55466666666667,0.44533333333333047,46,"[70, 21, 48, 37, 84, 45, 17, 47]",8,[],"[7, 18]"
2800,1063.0,46,44.742666666666665,1.2573333333333352,57,"[70, 21, 37, 84, 45, 17, 47, 59]",8,[59],[48]
2758.0,1200.0,50,46.23866666666667,3.761333333333333,30,"[21, 84, 45, 17, 47, 59]",6,[],"[70, 37]"
3200,288.3333333333333,51.80488888888889,51.80488888888889,0.0,61,"[21, 17, 59]",3,[],"[84, 45, 47]"
0,1617.0,55,57.843111111111114,-2.8431111111111136,34,[],0,[],"[21, 17, 59]"
