x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
800,1838.0,0,,,2,[],0,[],[]
991.0,1200.0,3,1.1053333333333333,1.8946666666666667,16,[],0,[],[]
800,1361.0,14,3.469333333333333,10.530666666666667,6,[],0,[],[]
400,765.0,33,15.328,17.672,12,[],0,[],[]
781.0,1200.0,37,34.088,2.911999999999999,22,[],0,[],[]
1067.5,0.0,48,38.982,9.018,1,[6],1,[6],[]
1200,703.0,54,49.114,4.886000000000003,5,"[6, 16]",2,[16],[]
4000,1085.0,59,58.242666666666665,0.7573333333333352,43,"[6, 16]",2,[],[]
2988.5,2000.0,61.568666666666665,61.568666666666665,0.0,50,[],0,[],"[6, 16]"
