x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
1641.0,400,3,,,24,[87],1,[87],[]
2800.0,53.0,6,5.008,0.992,20,[87],1,[],[]
3766.0,0,9,7.358666666666666,1.6413333333333338,26,[87],1,[],[]
2800.0,1437.0,19,12.204,6.795999999999999,10,"[87, 33]",2,[33],[]
2568.0,1600,25,19.526666666666667,5.473333333333333,34,"[87, 33, 44]",3,[44],[]
4000.0,1527.0,32,27.006666666666668,4.993333333333332,3,"[33, 44, 93, 95]",4,"[93, 95]",[87]
3029.0,1200,34,33.730666666666664,0.26933333333333564,42,"[33, 44, 93, 95, 81]",5,[81],[]
2800.0,1054.0,43,34.5,8.5,28,"[33, 44, 95, 81]",4,[],[93]
3375.0,1600,45,44.49466666666667,0.5053333333333327,11,"[33, 44, 95, 81, 18, 40]",6,"[18, 40]",[]
2400.0,64.0,49,48.348,0.652000000000001,9,"[33, 44, 81, 18, 40, 1, 46]",7,"[1, 46]",[95]
2000.0,90.0,50,49.568,0.43200000000000216,40,"[44, 81, 40, 1, 46, 91]",6,[91],"[33, 18]"
1200.0,1169.0,53,52.50533333333333,0.49466666666666725,25,"[44, 81, 40, 1, 46, 91]",6,[],[]
521.0,800,55,54.397333333333336,0.6026666666666642,37,"[44, 81, 40, 1, 46, 91]",6,[],[]
0.0,217.0,58,56.472,1.5279999999999987,13,"[44, 81, 40, 1, 46, 91]",6,[],[]
3107.1666666666665,400,62.38688888888889,62.38688888888889,0.0,32,[],0,[],"[44, 81, 40, 1, 46, 91]"
