x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
2800,785.0,2,,,29,[],0,[],[]
3200,1115.5,6,2.974,3.026,11,"[22, 64]",2,"[22, 64]",[]
3221.0,2000.0,8,7.207333333333334,0.7926666666666664,55,"[22, 64]",2,[],[]
3870.0,2000.0,12,8.865333333333334,3.134666666666666,10,"[22, 64, 13]",3,[13],[]
3293.0,1600.0,16,13.302666666666667,2.697333333333333,51,"[22, 64, 13]",3,[],[]
3719.5,2000.0,18,17.102,0.8979999999999997,56,"[22, 64, 13, 57]",4,[57],[]
3200,1852.0,20,18.89,1.1099999999999994,42,"[22, 64, 13, 57]",4,[],[]
642.6666666666666,1600.0,27,23.74577777777778,3.2542222222222215,2,"[22, 64, 13, 57, 0, 17, 21]",7,"[0, 17, 21]",[]
506.0,800.0,31,28.24888888888889,2.7511111111111113,44,"[22, 64, 13, 57, 0, 17, 21, 75]",8,[75],[]
1600,746.0,33,32.53066666666667,0.4693333333333314,5,"[22, 64, 13, 57, 0, 17, 21, 75]",8,[],[]
1915.0,400.0,34,33.88133333333333,0.11866666666666958,33,"[22, 64, 57, 0, 17, 21, 75, 62]",8,[62],[13]
701.5,1200.0,41,36.684666666666665,4.315333333333335,15,"[22, 64, 57, 0, 17, 21, 75, 62]",8,[],[]
391.0,800.0,45,41.94733333333333,3.052666666666667,31,"[22, 64, 57, 0, 17, 21, 75, 62]",8,[],[]
618.0,800.0,47,45.30266666666667,1.697333333333333,40,"[22, 64, 57, 0, 17, 21, 75, 62]",8,[],[]
2800,1558.0,51,50.92,0.0799999999999983,37,"[22, 64, 21, 75, 62, 25]",6,[25],"[57, 0, 17]"
3425.75,1600.0,51.89033333333333,51.89033333333333,0.0,44,"[64, 21]",2,[],"[22, 75, 62, 25]"
1200,29.0,58,56.952666666666666,1.0473333333333343,32,[],0,[],"[64, 21]"
