TripID,dist2cent,walkingtime
0,637.3333333333334,573.6
1,0.0,0.0
2,524.0,471.59999999999997
3,485.4,436.85999999999996
4,221.33333333333326,199.19999999999993
5,554.5,499.04999999999995
6,647.3333333333334,582.6
7,557.0,501.29999999999995
8,361.3333333333333,325.2
9,284.25,255.825
10,0.0,0.0
11,451.6666666666667,406.5
12,0.0,0.0
13,0.0,0.0
14,240.66666666666652,216.59999999999985
15,321.3333333333335,289.2000000000001
16,534.6666666666667,481.20000000000005
17,0.0,0.0
18,393.0,353.7
19,0.0,0.0
20,0.0,0.0
21,274.0,246.6
22,26.0,23.4
23,410.6666666666665,369.59999999999985
24,294.6,265.14
25,325.33333333333326,292.7999999999999
26,470.6666666666665,423.59999999999985
27,246.0,221.39999999999998
28,224.0,201.6
29,0.0,0.0
30,490.66666666666663,441.59999999999997
31,438.66666666666674,394.80000000000007
32,489.6,440.64
33,487.6,438.84
34,157.5,141.75
35,158.33333333333331,142.49999999999997
36,26.0,23.4
37,481.5,433.34999999999997
38,634.3333333333333,570.8999999999999
39,273.25,245.92499999999998
40,234.66666666666674,211.20000000000005
41,0.0,0.0
42,157.5,141.75
43,465.3333333333335,418.8000000000001
44,519.75,467.775
45,238.75,214.875
46,13.600000000000023,12.24000000000002
47,170.0,153.0
48,304.3333333333335,273.90000000000015
49,0.0,0.0
