genT,arivT,TT,taxiT,diff
5.0,30.0,25.0,4.368,20.631999999999998
2.0,35.0,33.0,1.9906666666666666,31.009333333333334
3.0,35.0,32.0,2.9053333333333335,29.094666666666665
15.0,38.0,23.0,1.1066666666666667,21.893333333333334
10.0,43.0,33.0,4.1146666666666665,28.885333333333335
27.0,43.0,16.0,4.494666666666666,11.505333333333333
0.0,43.95,43.95,2.6013333333333333,41.34866666666667
23.0,49.0,26.0,0.5093333333333333,25.490666666666666
33.0,49.0,16.0,2.3306666666666667,13.669333333333334
12.0,54.0,42.0,0.8413333333333334,41.15866666666667
53.0,54.0,1.0,1.7306666666666666,-0.7306666666666666
11.0,55.55866666666667,44.55866666666667,2.8693333333333335,41.68933333333334
20.0,55.55866666666667,35.55866666666667,1.3653333333333333,34.193333333333335
49.0,55.55866666666667,6.558666666666667,2.108,4.450666666666667
30.0,58.564,28.564,2.8213333333333335,25.742666666666665
38.0,58.564,20.564,2.984,17.58
6.0,59.0,53.0,0.4186666666666667,52.58133333333333
18.0,59.0,41.0,2.1893333333333334,38.81066666666667
14.0,31.064888888888888,17.064888888888888,5.938666666666666,11.126222222222221
9.0,34.00888888888889,25.00888888888889,3.7493333333333334,21.259555555555558
8.0,52.0,44.0,3.1986666666666665,40.80133333333333
23.0,52.0,29.0,4.624,24.376
20.0,55.0,35.0,4.582666666666666,30.417333333333332
26.0,55.0,29.0,4.301333333333333,24.698666666666668
41.0,55.0,14.0,1.296,12.704
58.0,55.0,-3.0,0.6653333333333333,-3.6653333333333333
5.0,56.968,51.968,5.456,46.512
8.0,56.968,48.968,4.648,44.32000000000001
13.0,56.968,43.968,3.6986666666666665,40.269333333333336
47.0,56.968,9.968000000000004,1.8813333333333333,8.08666666666667
16.0,61.43166666666667,45.43166666666667,0.6266666666666667,44.80500000000001
28.0,61.43166666666667,33.43166666666667,0.7706666666666667,32.66100000000001
33.0,61.43166666666667,28.431666666666672,3.416,25.01566666666667
51.0,61.43166666666667,10.431666666666672,4.592,5.839666666666672
7.0,59.0,52.0,1.148,50.852
10.0,59.0,49.0,1.244,47.756
19.0,59.0,40.0,1.02,38.98
0.0,6.0,6.0,4.346666666666667,1.6533333333333333
5.0,11.0,6.0,1.584,4.416
7.0,33.0,26.0,2.568,23.432
31.0,33.93866666666667,2.93866666666667,0.8946666666666667,2.044000000000003
9.0,35.553333333333335,26.553333333333335,1.7346666666666666,24.81866666666667
31.0,40.104,9.104,3.6346666666666665,5.469333333333333
11.0,49.0,38.0,4.78,33.22
54.0,51.758,-2.2419999999999973,3.0906666666666665,-5.332666666666664
38.0,61.815333333333335,23.815333333333335,3.328,20.487333333333336
38.0,61.815333333333335,23.815333333333335,4.882666666666666,18.93266666666667
32.0,64.60000000000001,32.60000000000001,0.6066666666666667,31.993333333333343
51.0,64.60000000000001,13.600000000000009,1.5826666666666667,12.017333333333342
46.0,64.60000000000001,18.60000000000001,3.94,14.660000000000009
48.0,64.60000000000001,16.60000000000001,4.753333333333333,11.846666666666675
