x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
2400,1909.0,0,,,34,[53],1,[53],[]
512.0,800.0,6,3.996,2.004,0,"[5, 70]",2,"[5, 70]",[53]
1906.0,400.0,9,8.392,0.6080000000000005,5,"[5, 70, 6]",3,[6],[]
1200,184.0,11,10.229333333333333,0.770666666666667,24,"[70, 6, 61]",3,[61],[5]
1226.0,400.0,15,11.322666666666667,3.6773333333333333,16,"[70, 6, 61]",3,[],[]
2160.0,0.0,24,16.778666666666666,7.221333333333334,32,"[70, 6, 61]",3,[],[]
2800,599.0,30,25.652,4.347999999999999,9,"[70, 6, 61]",3,[],[]
2400,877.0,31,30.904,0.09600000000000009,21,"[70, 6, 61, 41]",4,[41],[]
2000,1310.0,33,32.11066666666667,0.8893333333333331,10,"[6, 61, 41, 2, 42, 55]",6,"[2, 42, 55]",[70]
1806.0,800.0,33.93866666666667,33.93866666666667,0.0,29,"[6, 61, 2, 42, 55]",5,[],[41]
800,595.0,35.553333333333335,35.553333333333335,0.0,27,"[61, 2, 42, 55]",4,[],[6]
2000,43.0,38,37.88933333333333,0.11066666666666691,17,"[61, 2, 42, 55, 1]",5,[1],[]
3535.0,0.0,40.104,40.104,0.0,28,"[61, 2, 55, 1]",4,[],[42]
3600,1725.5,49,42.49133333333333,6.50866666666667,1,"[2, 55, 1, 3, 47, 80, 92]",7,"[3, 47, 80, 92]",[61]
3943.0,0.0,51.758,51.758,0.0,27,"[2, 55, 1, 47, 80, 92]",6,[],[3]
3359.0,1600.0,57,54.67,2.3299999999999983,23,"[2, 55, 1, 47, 80, 92]",6,[],[]
147.5,1200.0,61.815333333333335,61.815333333333335,0.0,25,"[55, 47, 80, 92]",4,[],"[2, 1]"
2000,964.0,64.60000000000001,64.60000000000001,0.0,26,[],0,[],"[55, 47, 80, 92]"
