x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
2164.0,800,1,,,38,[],0,[],[]
3200.0,1576.0,5,3.416,1.584,22,[91],1,[91],[]
3200.0,102.0,7,6.965333333333334,0.0346666666666664,41,"[91, 76]",2,[76],[]
3125.0,400,8,7.497333333333334,0.5026666666666664,45,"[91, 76, 93]",3,[93],[]
3166.0,0,9,8.588,0.4120000000000008,8,"[91, 76, 93, 24]",4,[24],[]
3303.0,400,10,9.716,0.2840000000000007,53,"[91, 76, 93, 24, 51]",5,[51],[]
3200.0,765.3333333333334,12,10.624444444444444,1.3755555555555556,31,"[91, 76, 93, 24, 51, 26, 71, 84]",8,"[26, 71, 84]",[]
3847.0,1600,18,13.975555555555555,4.024444444444445,43,"[91, 76, 93, 24, 51, 26, 71, 84, 35, 85]",10,"[35, 85]",[]
3609.0,2000,20,18.850666666666665,1.1493333333333347,49,"[91, 76, 93, 24, 51, 26, 71, 84, 35, 85, 77]",11,[77],[]
3600.0,1250.0,23,21.012,1.9879999999999995,6,"[91, 76, 93, 24, 51, 26, 71, 84, 35, 85, 77, 22, 32]",13,"[22, 32]",[]
3793.0,2000,26,24.257333333333335,1.7426666666666648,25,"[91, 76, 93, 24, 51, 26, 71, 84, 35, 85, 77, 22, 32, 20]",14,[20],[]
97.33333333333333,2000,31,30.927555555555557,0.07244444444444298,3,"[91, 76, 93, 24, 51, 26, 71, 84, 35, 85, 77, 22, 32, 20]",14,[],[]
146.0,2000,31.064888888888888,31.064888888888888,0.0,45,"[91, 76, 93, 24, 51, 26, 71, 35, 85, 77, 22, 32, 20]",13,[],[84]
354.0,0,34.00888888888889,34.00888888888889,0.0,44,"[91, 76, 93, 51, 26, 71, 35, 85, 77, 22, 32, 20]",12,[],[24]
822.0,1600,37,36.766222222222225,0.23377777777777453,2,"[91, 76, 93, 51, 26, 71, 35, 85, 77, 22, 32, 20, 0, 50]",14,"[0, 50]",[]
556.0,1200,39,37.888,1.1120000000000019,52,"[91, 76, 93, 51, 26, 71, 35, 85, 77, 22, 32, 20, 0, 50]",14,[],[]
995.3333333333334,1200,52,39.58577777777778,12.414222222222222,14,"[91, 76, 51, 26, 71, 85, 77, 22, 32, 20, 0, 50, 23, 64, 74]",15,"[23, 64, 74]","[93, 35]"
1605.0,1200,55,52.81288888888889,2.1871111111111077,37,"[91, 76, 51, 26, 71, 85, 22, 32, 50, 23, 64]",11,[],"[77, 20, 0, 74]"
400.0,1471.0,56.968,56.968,0.0,41,"[76, 51, 71, 22, 32, 50, 23]",7,[],"[91, 26, 85, 64]"
3600.0,1323.25,61.43166666666667,61.43166666666667,0.0,42,"[76, 51, 32]",3,[],"[71, 22, 50, 23]"
2924.0,800,59,63.03066666666667,-4.030666666666669,54,[],0,[],"[76, 51, 32]"
