x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
2504.0,0,2,,,41,"[65, 88]",2,"[65, 88]",[]
2800.0,1281.0,6,4.102666666666666,1.897333333333334,77,"[65, 88, 78]",3,[78],[]
2332.0,1200,8,6.732,1.2679999999999998,52,"[65, 88, 78, 7, 94]",5,"[7, 94]",[]
2000.0,1627.0,10,9.012,0.9879999999999995,28,"[65, 88, 78, 7, 94, 48, 58]",7,"[48, 58]",[]
1600.0,917.3333333333334,13,11.479555555555555,1.5204444444444452,6,"[65, 88, 78, 7, 94, 48, 58, 73, 89]",9,"[73, 89]",[]
816.0,400,15,14.735111111111111,0.26488888888888873,27,"[65, 88, 78, 7, 94, 48, 58, 73, 89, 45]",10,[45],[]
1200.0,1272.0,18,16.674666666666667,1.325333333333333,14,"[65, 88, 78, 7, 94, 48, 58, 73, 89, 45, 4]",11,[4],[]
855.0,1200,20,18.556,1.443999999999999,73,"[65, 88, 78, 7, 94, 48, 58, 73, 89, 45, 4, 81]",12,[81],[]
48.0,800,23,21.609333333333332,1.390666666666668,12,"[65, 88, 78, 7, 94, 48, 58, 73, 89, 45, 4, 81]",12,[],[]
0.0,1127.0,30,23.5,6.5,0,"[65, 78, 7, 94, 48, 58, 73, 89, 45, 4, 81, 60]",12,[60],[88]
2800.0,1812.0,35,34.64666666666667,0.3533333333333317,58,"[65, 78, 7, 48, 58, 73, 45, 4, 81, 60, 69]",11,[69],"[94, 89]"
2400.0,449.0,38,37.35066666666667,0.6493333333333311,61,"[65, 78, 48, 58, 73, 45, 4, 81, 60, 69, 86]",11,[86],[7]
400.0,455.5,43,40.675333333333334,2.3246666666666655,24,"[65, 78, 58, 73, 45, 4, 81, 60, 86, 34, 38]",11,"[34, 38]","[48, 69]"
657.0,0,43.95,43.95,0.0,67,"[78, 58, 73, 45, 4, 81, 60, 86, 34, 38]",10,[],[65]
1716.0,400,49,45.89533333333333,3.1046666666666667,38,"[78, 58, 45, 4, 81, 60, 86, 38, 97]",9,[97],"[73, 34]"
1258.0,400,54,49.61066666666667,4.389333333333333,4,"[78, 58, 4, 81, 60, 86, 97]",7,[],"[45, 38]"
400.0,711.0,55.55866666666667,55.55866666666667,0.0,66,"[78, 4, 60, 86]",4,[],"[58, 81, 97]"
1600.0,1765.0,58.564,58.564,0.0,65,"[78, 4]",2,[],"[60, 86]"
2466.0,1600,59,59.93866666666667,-0.9386666666666699,10,[],0,[],"[78, 4]"
