TripID,dist2cent,walkingtime
0,158.33333333333326,142.49999999999991
1,26.0,23.4
2,235.0,211.5
3,11.0,9.9
4,0.0,0.0
5,137.5,123.75
6,183.80000000000018,165.42000000000016
7,146.66666666666652,131.99999999999986
8,190.0,171.0
9,30.333333333333258,27.29999999999993
10,11.0,9.9
11,99.5,89.55
12,247.79999999999995,223.01999999999995
13,22.0,19.8
14,100.0,90.0
15,86.0,77.39999999999999
16,107.66666666666663,96.89999999999996
17,122.0,109.8
18,110.5,99.44999999999999
19,0.0,0.0
20,169.0,152.1
21,42.2,37.980000000000004
22,0.0,0.0
23,0.0,0.0
24,0.0,0.0
25,0.0,0.0
26,260.6,234.54000000000002
27,59.66666666666674,53.70000000000007
28,118.5,106.64999999999999
29,164.5999999999999,148.1399999999999
30,0.0,0.0
31,26.0,23.4
32,132.16666666666674,118.95000000000006
33,30.5,27.45
34,148.0,133.2
35,150.0,135.0
36,166.0,149.4
37,216.0,194.39999999999998
38,121.66666666666667,109.5
39,0.0,0.0
40,218.5,196.64999999999998
41,28.199999999999818,25.379999999999836
42,65.5,58.949999999999996
43,0.0,0.0
44,125.0,112.5
45,53.5,48.15
46,196.0,176.4
47,105.25,94.725
48,29.333333333333258,26.39999999999993
49,121.33333333333326,109.19999999999993
50,252.5,227.25
51,53.0,47.699999999999996
52,229.66666666666674,206.70000000000005
53,42.0,37.8
54,43.666666666666515,39.29999999999986
55,0.0,0.0
56,54.0,48.599999999999994
57,145.0,130.5
58,253.66666666666652,228.29999999999984
59,213.33333333333348,192.0000000000001
60,139.0,125.1
61,38.16666666666674,34.350000000000065
62,94.5,85.05
63,70.25,63.224999999999994
64,128.5,115.64999999999999
65,72.0,64.8
66,263.33333333333337,237.00000000000003
67,0.0,0.0
68,80.0,72.0
69,75.33333333333348,67.80000000000014
70,165.0,148.5
71,36.0,32.4
72,290.83333333333326,261.74999999999994
73,49.25,44.324999999999996
74,98.5,88.64999999999999
75,108.25,97.425
76,65.0,58.5
77,136.0,122.39999999999999
78,154.80000000000018,139.32000000000016
79,104.0,93.6
80,248.5,223.64999999999998
81,198.0,178.2
82,8.0,7.199999999999999
83,220.25,198.225
84,73.5,66.14999999999999
85,84.5,76.05
86,6.666666666666629,5.999999999999965
87,213.5999999999999,192.2399999999999
88,0.0,0.0
89,69.5,62.55
90,214.0,192.6
91,83.0,74.7
92,38.33333333333337,34.500000000000036
93,125.0,112.5
94,8.5,7.6499999999999995
95,45.5,40.949999999999996
96,0.0,0.0
97,63.33333333333326,56.99999999999993
98,249.0,224.1
99,90.0,81.0
100,96.59999999999991,86.93999999999991
101,87.5,78.75
102,330.6666666666665,297.59999999999985
103,74.0,66.6
104,82.5,74.25
105,253.0,227.7
106,258.5,232.64999999999998
107,108.0,97.19999999999999
108,285.0,256.5
109,196.39999999999998,176.75999999999996
110,296.0,266.4
111,117.0,105.3
112,21.0,18.9
113,13.0,11.7
114,0.40000000000009095,0.36000000000008187
115,112.66666666666674,101.40000000000006
116,0.0,0.0
117,51.33333333333337,46.20000000000003
118,90.0,81.0
119,134.4000000000001,120.96000000000008
120,232.0,208.79999999999998
121,190.66666666666663,171.59999999999997
122,0.0,0.0
123,111.33333333333334,100.2
124,0.0,0.0
125,205.33333333333348,184.80000000000013
126,74.0,66.6
127,57.333333333333314,51.59999999999998
128,0.0,0.0
129,0.0,0.0
130,0.0,0.0
131,165.16666666666674,148.65000000000006
132,0.0,0.0
133,18.0,16.2
134,122.0,109.8
135,59.0,53.099999999999994
136,304.33333333333326,273.8999999999999
137,239.0,215.1
138,298.5999999999999,268.7399999999999
139,0.0,0.0
140,56.5,50.849999999999994
141,167.0,150.29999999999998
142,0.0,0.0
143,11.0,9.9
144,270.0,243.0
145,254.5,229.04999999999998
146,238.0,214.2
147,0.0,0.0
148,0.0,0.0
149,18.0,16.2
150,85.0,76.5
151,153.0,137.7
152,254.0,228.6
153,192.66666666666652,173.39999999999986
154,132.0,118.8
155,0.0,0.0
156,175.0,157.5
157,87.5,78.75
158,0.0,0.0
159,120.80000000000018,108.72000000000016
160,0.0,0.0
161,116.75,105.07499999999999
162,0.0,0.0
163,0.6666666666665151,0.5999999999998635
164,108.66666666666674,97.80000000000007
165,40.0,36.0
166,195.5,175.95
167,0.0,0.0
168,0.0,0.0
169,284.66666666666674,256.20000000000005
170,131.0,117.89999999999999
171,67.19999999999999,60.47999999999999
172,310.5,279.45
173,73.0,65.7
174,190.0,171.0
175,0.0,0.0
176,0.0,0.0
177,15.5,13.95
178,110.75,99.675
179,163.5,147.15
180,0.0,0.0
181,10.333333333333371,9.300000000000034
182,0.0,0.0
183,94.5,85.05
184,0.0,0.0
185,186.16666666666674,167.55000000000007
186,68.33333333333337,61.50000000000003
187,46.0,41.4
188,141.33333333333337,127.20000000000003
189,90.5,81.45
190,28.0,25.2
191,0.0,0.0
192,152.33333333333326,137.09999999999994
193,18.0,16.2
194,13.0,11.7
195,57.5,51.75
196,78.5,70.64999999999999
197,77.5,69.75
198,166.0,149.4
199,23.5,21.15
200,109.5,98.55
201,37.39999999999998,33.659999999999975
202,13.0,11.7
203,135.33333333333326,121.79999999999993
204,65.75,59.175
205,0.0,0.0
206,45.5,40.949999999999996
207,139.0,125.1
208,89.5,80.55
209,147.5,132.75
210,122.66666666666652,110.39999999999986
211,251.25,226.125
212,111.33333333333326,100.19999999999993
213,78.66666666666674,70.80000000000007
214,191.66666666666674,172.50000000000006
215,87.5,78.75
216,2.3333333333332575,2.0999999999999317
217,108.0,97.19999999999999
218,135.0,121.5
219,32.5,29.25
220,0.0,0.0
221,0.0,0.0
222,41.5,37.35
223,36.25,32.625
224,28.0,25.2
225,142.0,127.8
226,19.0,17.099999999999998
227,78.66666666666666,70.79999999999998
228,184.0,165.6
229,279.2,251.27999999999997
230,130.0,117.0
231,10.199999999999818,9.179999999999836
232,227.25,204.52499999999998
233,12.5,11.25
234,252.33333333333326,227.0999999999999
235,0.0,0.0
236,55.66666666666674,50.100000000000065
237,138.0,124.19999999999999
238,30.333333333333258,27.29999999999993
239,233.33333333333326,209.99999999999991
240,189.75,170.775
241,30.5,27.45
242,70.5,63.449999999999996
