# of veh,demand,served %,TotalIVT,avgIVT,TotalvehTransDistRatio,EffTransDistRatio,avgoccupancy,Distance,DrivingT,ComputationT
8.0,50.0,100.0,476.14024593707796,9.52280491874156,0.9809867149402582,0.0334268309215659,4.589473684210526,144761.22842869148,217.18163790492198,13.126338416254956
8.0,60.0,96.66666666666667,559.815016101128,9.651983036226344,0.9927957629110833,0.015275778778137255,3.2142857142857144,174112.10530345686,260.48280707127583,18.076187788870783
8.0,70.0,98.57142857142858,850.2312548258035,12.322192098924688,0.993901594249495,0.010430981736265232,3.173228346456693,206726.0554830378,308.3014073107171,23.676127941827765
8.0,80.0,98.75,1018.2870076985055,12.88970895820893,0.9930521323045057,0.021731664208000937,5.033783783783784,222447.3219212399,334.42976256165315,31.83458777931346
8.0,90.0,96.66666666666667,1250.7835378047012,14.376822273617254,0.9901291949943937,0.014210476724721147,4.1234567901234565,255273.20752106217,381.8642766947495,38.73971400281429
8.0,100.0,94.0,1112.456982036545,11.834648745069627,0.9981969475629056,0.018189214732467634,3.8285714285714287,270707.6706060248,405.7768941413664,45.68611335268881
8.0,110.0,95.45454545454545,1220.9048414574013,11.627665156737155,0.9966976062061667,0.0038403806380208827,4.290816326530612,305918.4208438888,458.0578944585183,58.054506320206144
8.0,120.0,90.0,1517.6871285471657,14.052658597658942,0.9984601158430602,0.009724823825649551,4.445,294642.7338761931,444.19031183492416,63.5736708850678
8.0,130.0,82.3076923076923,1381.3575687894856,12.909883820462483,0.9949038550635881,0.00522308319011737,4.706730769230769,326233.5650775436,487.47808677005816,68.91141898078551
8.0,140.0,85.0,1393.4213333406567,11.709422969249216,0.9935706380518484,0.009806308823432267,4.075892857142857,325182.94044351927,490.74392059135914,80.22798935837655
8.0,150.0,76.66666666666667,1502.1209900626702,13.06192165271887,0.9917241672110503,0.002974413842240596,4.402714932126697,331329.69519299734,497.7729269239963,85.71316228191313
