x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
2400,1627.0,0,,,39,[92],1,[92],[]
1076.0,800.0,2.868,2.868,0.0,45,[],0,[],[92]
2172.0,400.0,11,4.862666666666667,6.137333333333333,30,[36],1,[36],[]
1333.0,0.0,22,12.652,9.348,34,"[36, 41]",2,[41],[]
2800,78.66666666666667,29,24.06088888888889,4.93911111111111,9,"[36, 41, 63, 74, 81]",5,"[63, 74, 81]",[]
1200,1871.0,33.52311111111111,33.52311111111111,0.0,41,"[36, 41, 63, 74]",4,[],[81]
1600,604.6666666666666,35.744888888888894,35.744888888888894,0.0,42,[63],1,[],"[36, 41, 74]"
0,1041.0,38.46000000000001,38.46000000000001,0.0,41,[],0,[],[63]
0,544.5,41,39.12200000000001,1.877999999999993,1,"[38, 71]",2,"[38, 71]",[]
800,473.0,44,42.162,1.838000000000001,12,"[38, 71, 5]",3,[5],[]
2400,1151.0,47.037333333333336,47.037333333333336,0.0,40,"[71, 5]",2,[],[38]
1600,933.0,49,48.39466666666667,0.6053333333333271,24,"[71, 5, 66]",3,[66],[]
3600,422.0,52.348,52.348,0.0,41,"[5, 66]",2,[],[71]
3824.0,0.0,54,53.20933333333333,0.7906666666666666,8,"[5, 66, 14, 70]",4,"[14, 70]",[]
1600,202.0,57.23466666666667,57.23466666666667,0.0,38,"[5, 14, 70]",3,[],[66]
1200,1547.3333333333333,59.56177777777778,59.56177777777778,0.0,37,[],0,[],"[5, 14, 70]"
