x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
741.0,2000,1,,,3,[9],1,[9],[]
924.0,800,3,2.8440000000000003,0.1559999999999997,36,"[9, 55]",2,[55],[]
1200.0,1178.0,4,3.872,0.1280000000000001,53,"[9, 55, 58]",3,[58],[]
0.0,628.0,6.333333333333334,6.333333333333334,0.0,76,"[55, 58]",2,[],[9]
118.0,1600,10,7.786666666666667,2.213333333333333,46,"[55, 58, 57]",3,[57],[]
125.0,1200,11,10.542666666666667,0.4573333333333327,24,"[55, 58, 57, 26]",4,[26],[]
0.0,677.0,13,11.864,1.1359999999999992,34,"[55, 58, 57, 26, 91]",5,[91],[]
354.0,1200,15,14.169333333333334,0.8306666666666658,67,"[55, 58, 57, 26, 91, 99]",6,[99],[]
800.0,1392.0,18,15.850666666666667,2.149333333333333,2,"[55, 58, 57, 26, 91, 99, 19]",7,[19],[]
559.0,400,20,19.644,0.35600000000000165,0,"[55, 58, 57, 26, 91, 99, 19, 59]",8,[59],[]
400.0,873.0,21,20.842666666666666,0.15733333333333377,14,"[55, 58, 57, 26, 91, 99, 19, 59, 29, 32]",10,"[29, 32]",[]
1600.0,237.0,24,23.448,0.5519999999999996,5,"[55, 58, 57, 26, 91, 99, 19, 59, 29, 32, 50, 82]",12,"[50, 82]",[]
2000.0,778.0,27,25.254666666666665,1.7453333333333347,71,"[55, 58, 57, 26, 91, 99, 19, 59, 29, 32, 50, 82, 34]",13,[34],[]
3200.0,634.3333333333334,30,28.791555555555554,1.2084444444444458,8,"[55, 58, 57, 26, 91, 99, 19, 59, 29, 32, 50, 82, 34, 6, 27, 88]",16,"[6, 27, 88]",[]
3049.6,400,30.512977777777778,30.512977777777778,0.0,63,"[55, 58, 57, 26, 91, 99, 59, 32, 34, 27, 88]",11,[],"[19, 29, 50, 82, 6]"
800.0,1463.75,34.93077777777778,34.93077777777778,0.0,65,"[26, 99, 59, 32, 34, 27, 88]",7,[],"[55, 58, 57, 91]"
2400.0,1817.0,37.535111111111114,37.535111111111114,0.0,64,[27],1,[],"[26, 99, 59, 32, 34, 88]"
2800.0,1781.5,39,38.11577777777778,0.8842222222222205,65,"[27, 44]",2,[44],[]
2400.0,1980.0,44,39.798,4.201999999999998,39,"[27, 44, 40]",3,[40],[]
2800.0,1376.0,47,45.33866666666667,1.6613333333333316,68,"[27, 44, 40]",3,[],[]
1200.0,1770.0,50,49.65866666666667,0.34133333333333127,7,"[27, 44, 40, 31, 62]",5,"[31, 62]",[]
172.66666666666666,1200,52.129777777777775,52.129777777777775,0.0,60,"[44, 40]",2,[],"[27, 31, 62]"
3800.0,1200,56.96622222222222,56.96622222222222,0.0,59,[],0,[],"[44, 40]"
3660.0,800,59,57.68622222222222,1.31377777777778,29,[],0,[],[]
