genT,arivT,TT,taxiT,diff
1.0,6.333333333333334,5.333333333333334,2.8173333333333335,2.5160000000000005
18.0,30.512977777777778,12.512977777777778,4.524,7.9889777777777775
23.0,30.512977777777778,7.5129777777777775,3.9,3.6129777777777776
23.0,30.512977777777778,7.5129777777777775,1.0293333333333334,6.483644444444444
26.0,30.512977777777778,4.5129777777777775,2.8586666666666667,1.6543111111111108
25.0,30.512977777777778,5.5129777777777775,1.552,3.9609777777777775
3.0,34.93077777777778,31.930777777777777,1.4573333333333334,30.473444444444443
4.0,34.93077777777778,30.930777777777777,1.5666666666666667,29.36411111111111
10.0,34.93077777777778,24.930777777777777,2.456,22.474777777777778
13.0,34.93077777777778,21.930777777777777,3.1173333333333333,18.813444444444443
11.0,37.535111111111114,26.535111111111114,4.161333333333333,22.373777777777782
15.0,37.535111111111114,22.535111111111114,3.1106666666666665,19.424444444444447
20.0,37.535111111111114,17.535111111111114,4.838666666666667,12.696444444444447
20.0,37.535111111111114,17.535111111111114,4.037333333333334,13.497777777777781
27.0,37.535111111111114,10.535111111111114,2.7693333333333334,7.76577777777778
36.0,37.535111111111114,1.5351111111111138,2.6213333333333333,-1.0862222222222195
29.0,52.129777777777775,23.129777777777775,6.189333333333333,16.94044444444444
48.0,52.129777777777775,4.129777777777775,3.548,0.5817777777777753
53.0,52.129777777777775,-0.8702222222222247,1.392,-2.2622222222222246
36.0,56.96622222222222,20.96622222222222,1.7973333333333332,19.168888888888887
44.0,56.96622222222222,12.966222222222221,3.1733333333333333,9.792888888888887
3.0,4.830666666666667,1.8306666666666667,1.8306666666666667,0.0
20.0,33.359,13.359000000000002,2.3506666666666667,11.008333333333335
14.0,33.359,19.359,1.6546666666666667,17.704333333333334
10.0,33.359,23.359,1.5613333333333332,21.797666666666668
22.0,33.359,11.359000000000002,3.572,7.787000000000002
21.0,33.359,12.359000000000002,2.7853333333333334,9.573666666666668
14.0,35.83233333333334,21.832333333333338,5.216,16.616333333333337
4.0,35.83233333333334,31.832333333333338,4.988,26.84433333333334
20.0,35.83233333333334,15.832333333333338,0.9706666666666667,14.861666666666672
13.0,41.58776190476191,28.587761904761912,0.4533333333333333,28.13442857142858
8.0,41.58776190476191,33.58776190476191,0.544,33.043761904761915
23.0,41.58776190476191,18.587761904761912,1.4466666666666668,17.141095238095247
25.0,41.58776190476191,16.587761904761912,3.208,13.379761904761912
23.0,41.58776190476191,18.587761904761912,3.7026666666666666,14.885095238095246
41.0,41.58776190476191,0.587761904761912,3.2013333333333334,-2.6135714285714213
41.0,41.58776190476191,0.587761904761912,4.082666666666666,-3.4949047619047544
0.0,2.868,2.868,2.868,0.0
29.0,33.52311111111111,4.523111111111113,4.264,0.25911111111111307
11.0,35.744888888888894,24.744888888888894,1.572,23.172888888888895
22.0,35.744888888888894,13.744888888888894,0.7933333333333333,12.951555555555561
34.0,35.744888888888894,1.7448888888888945,1.212,0.5328888888888945
25.0,38.46000000000001,13.460000000000008,5.308,8.152000000000008
36.0,47.037333333333336,11.037333333333336,4.349333333333333,6.688000000000003
46.0,52.348,6.347999999999999,5.0986666666666665,1.2493333333333325
49.0,57.23466666666667,8.23466666666667,0.9746666666666667,7.2600000000000025
44.0,59.56177777777778,15.561777777777777,2.2986666666666666,13.263111111111112
52.0,59.56177777777778,7.5617777777777775,6.412,1.1497777777777776
56.0,59.56177777777778,3.5617777777777775,5.637333333333333,-2.075555555555556
