# of veh,demand,served %,served#,Distance,DrivingT,ComputationT
4,50,90,45,166703.0928,249.5207904,4.259275293
4,100,70,70,159456.2442,248.441659,11.32178585
4,150,47.33333333,71,159304.8517,247.3231356,21.00945407
4,200,36.5,73,157052.4085,244.6532113,37.00084793
4,250,29.6,74,156258.0236,243.9273648,78.01415081
4,300,27.33333333,82,157208.1461,247.8608614,112.2511968
