x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
1270.0,800,0,,,47,[43],1,[43],[]
1962.0,1200,2,1.456,0.544,48,"[43, 66]",2,[66],[]
1055.0,400,7,4.276,2.724,24,"[43, 66, 95]",3,[95],[]
1067.0,0,9,7.549333333333333,1.4506666666666668,25,"[43, 66, 95, 83]",4,[83],[]
400.0,709.0,12,10.834666666666667,1.1653333333333329,20,"[43, 66, 95, 83, 90]",5,[90],[]
1200.0,1451.0,15,14.056000000000001,0.9439999999999991,30,"[43, 66, 95, 83, 90, 49]",6,[49],[]
1600.0,1985.0,18,16.245333333333335,1.7546666666666653,29,"[43, 66, 95, 83, 90, 49, 4]",7,[4],[]
1200.0,1529.0,21,19.141333333333332,1.858666666666668,14,"[43, 66, 95, 83, 90, 49, 4, 13]",8,[13],[]
156.5,2000,26,23.019333333333332,2.980666666666668,22,"[43, 66, 95, 83, 90, 49, 4, 13, 6, 36]",10,"[6, 36]",[]
2000.0,1444.25,29.198999999999998,29.198999999999998,0.0,53,"[95, 83, 90, 49, 4, 6]",6,[],"[43, 66, 13, 36]"
3600.0,1846.0,32,31.868,0.13200000000000145,37,"[95, 83, 90, 49, 4, 6, 9]",7,[9],[]
3600.0,1650.0,33,32.26133333333333,0.738666666666667,44,"[95, 83, 90, 49, 4, 9, 48]",7,[48],[6]
3489.5,400,34.814,34.814,0.0,49,"[83, 90, 48]",3,[],"[95, 49, 4, 9]"
2401.5,1200,38,37.33133333333333,0.6686666666666667,28,"[83, 90, 48, 23]",4,[23],[]
584.75,800,40.955666666666666,40.955666666666666,0.0,48,[],0,[],"[83, 90, 48, 23]"
929.0,400,47,41.948,5.052,8,[86],1,[86],[]
1200.0,487.0,48,47.477333333333334,0.522666666666666,11,"[86, 20]",2,[20],[]
70.0,0,53,50.156,2.844000000000001,3,"[86, 20, 51]",3,[51],[]
1311.6666666666667,0,54.65555555555556,54.65555555555556,0.0,46,[],0,[],"[86, 20, 51]"
1313.0,800,59,55.724000000000004,3.2759999999999962,27,[],0,[],[]
