x,y,t,t_move,diff,clusterID,onboard,count,pickup,dropoff
34.0,800,0,,,25,[42],1,[42],[]
242.0,400,2,0.8106666666666666,1.1893333333333334,26,"[42, 98]",2,[98],[]
1600.0,676.0,7,4.1786666666666665,2.8213333333333335,31,"[42, 98, 10]",3,[10],[]
1200.0,938.0,10,7.882666666666667,2.117333333333333,53,"[42, 98, 10, 24]",4,[24],[]
1062.5,800,17,10.367333333333333,6.632666666666667,9,"[42, 98, 10, 24, 75, 80]",6,"[75, 80]",[]
3000.0,1200,20.116666666666667,20.116666666666667,0.0,67,"[24, 80]",2,[],"[42, 98, 10, 75]"
2000.0,815.0,25,21.963333333333335,3.0366666666666653,34,"[24, 80, 17]",3,[17],[]
1538.0,2000,29,27.196,1.8039999999999985,36,"[24, 80, 17, 93]",4,[93],[]
2245.0,2000,39,29.942666666666668,9.057333333333332,15,"[24, 80, 17, 93, 30, 70]",6,"[30, 70]",[]
800.0,1130.2,42.0864,42.0864,0.0,64,[70],1,[],"[24, 80, 17, 93, 30]"
2821.5,400,46,45.75533333333333,0.24466666666666725,16,"[70, 2, 35]",3,"[2, 35]",[]
4000.0,1098.0,49,48.502,0.49799999999999756,5,"[70, 2, 35]",3,[],[]
3946.0,800,59,49.46933333333333,9.530666666666669,23,"[70, 2, 35, 11]",4,[11],[]
2996.5,800,60.266,60.266,0.0,62,[],0,[],"[70, 2, 35, 11]"
